subroutine,Instruction,Call address,Destination,Resolved name
-,call,0x418feb,0x7709e8b0,
-,call,0x41903d,0x6f64ccc9,
-,call,0x419073,0x6f64ccc9,
-,call,0x419095,0x6f64ccc9,
-,call,0x41920a,0x6f64ccc9,
-,call,0x41921a,0x6f64ccc9,
-,call,0x419225,0x6f64ccc9,
-,call,0x4192da,0x770a00b0,
-,call,0x419339,0x7709e8b0,
-,call,0x419e8a,0x6f61722a,
-,call,0x41b473,0x6f64ccc9,
-,call,0x41ce12,0x732f501f,
-,call,0x41cf35,0x732f501f,
-,call,0x41d033,0x732f501f,
-,call,0x41d154,0x732f501f,
-,call,0x41d271,0x6f64ccc9,
-,call,0x41d288,0x6f64ccc9,
-,call,0x41d298,0x6f64ccc9,
-,call,0x41d3cb,0x6f64ccc9,
-,call,0x41d3de,0x6f64ccc9,
-,call,0x41d4ef,0x732f5e81,
-,call,0x41d57a,0x732f5ebb,
-,call,0x41d8f1,0x6f64ccc9,
-,call,0x41d913,0x6f64ccc9,
-,call,0x41d935,0x6f64ccc9,
-,call,0x41d959,0x6f64ccc9,
-,call,0x41d9f2,0x6f64ccc9,
-,call,0x41da06,0x6f64ccc9,
-,call,0x41da42,0x6f64ccc9,
-,call,0x41da52,0x6f64ccc9,
-,call,0x41da8e,0x6f64ccc9,
-,call,0x41da99,0x6f64ccc9,
-,call,0x41dd8d,0x6f64ccc9,
-,call,0x41dde1,0x6f64ccc9,
-,call,0x41de5d,0x6f64ccc9,
-,call,0x41deb1,0x6f64ccc9,
-,call,0x41df2d,0x6f64ccc9,
-,call,0x41df7d,0x6f64ccc9,
-,call,0x41dfed,0x6f64ccc9,
-,call,0x41e03d,0x6f64ccc9,
-,call,0x41e0ad,0x6f64ccc9,
-,call,0x41e0fd,0x6f64ccc9,
-,call,0x41e176,0x733058ba,
-,call,0x41e1fc,0x6f64ccc9,
-,call,0x41e214,0x6f64ccc9,
-,call,0x41e22a,0x6f64ccc9,
-,call,0x41e23a,0x6f64ccc9,
-,call,0x41e24b,0x6f64ccc9,
-,call,0x41e263,0x6f64ccc9,
-,call,0x41e274,0x6f64ccc9,
-,call,0x41e29d,0x6f64ccc9,
-,call,0x41e2b1,0x6f64ccc9,
-,call,0x41e2c7,0x6f64ccc9,
-,call,0x41e2ec,0x6f64ccc9,
-,call,0x41e300,0x6f64ccc9,
-,call,0x41e5e3,0x732f72b6,
-,call,0x41e72e,0x6f64ccc9,
-,call,0x41e73e,0x6f64ccc9,
-,call,0x41e749,0x6f64ccc9,
-,call,0x41e886,0x732f7149,
-,call,0x41e8ae,0x732f5ebb,
-,call,0x41e919,0x732f7149,
