Calladdr,Address,Ordinal,Function,Module
0x01588238,0x766f8ae0,535,GetCurrentDirectoryW,kernel32.dll
0x0158823C,0x76703380,192,CreateDirectoryW,kernel32.dll
0x01588240,0x76701fd0,1118,QueueUserWorkItem,kernel32.dll
0x01588244,0x76701b40,803,GetVersionExW,kernel32.dll
0x01588248,0x766f2e40,882,InterlockedExchange,kernel32.dll
0x0158824C,0x76717140,1384,SetThreadPriorityBoost,kernel32.dll
0x01588250,0x766f5100,857,HeapValidate,kernel32.dll
0x01588254,0x76700e90,848,HeapDestroy,kernel32.dll
0x01588258,0x76700ce0,847,HeapCreate,kernel32.dll
0x0158825C,0x76714f40,118,CancelIo,kernel32.dll
0x01588260,0x76703320,1502,WaitForMultipleObjects,kernel32.dll
0x01588264,0x767031d0,197,CreateEventW,kernel32.dll
0x01588268,0x76702540,214,CreateIoCompletionPort,kernel32.dll
0x0158826C,0x76702500,1065,PostQueuedCompletionStatus,kernel32.dll
0x01588270,0x76702520,720,GetQueuedCompletionStatus,kernel32.dll
0x01588274,0x76703160,305,DuplicateHandle,kernel32.dll
0x01588278,0x767153b0,288,DeleteTimerQueueTimer,kernel32.dll
0x0158827C,0x767152e0,257,CreateTimerQueueTimer,kernel32.dll
0x01588280,0x767152d0,256,CreateTimerQueue,kernel32.dll
0x01588284,0x76715390,287,DeleteTimerQueueEx,kernel32.dll
0x01588288,0x76fdb160,752,AddVectoredExceptionHandler,kernel32.dll
0x0158828C,0x76703230,242,CreateSemaphoreW,kernel32.dll
0x01588290,0x7700bdc0,1481,HeapSize,kernel32.dll
0x01588294,0x766ff660,1487,VirtualAlloc,kernel32.dll
0x01588298,0x766ff760,1490,VirtualFree,kernel32.dll
0x0158829C,0x76701f60,790,GetTimeZoneInformation,kernel32.dll
0x015882A0,0x76700940,619,GetLocaleInfoW,kernel32.dll
0x015882A4,0x76700d20,777,GetThreadPriority,kernel32.dll
0x015882A8,0x76702380,579,GetExitCodeThread,kernel32.dll
0x015882AC,0x76703310,1417,SleepEx,kernel32.dll
0x015882B0,0x76716500,1064,PeekNamedPipe,kernel32.dll
0x015882B4,0x76703600,596,GetFileType,kernel32.dll
0x015882B8,0x767019a0,728,GetStdHandle,kernel32.dll
0x015882BC,0x76706a20,356,ExitProcess,kernel32.dll
0x015882C0,0x76700f20,725,GetStartupInfoA,kernel32.dll
0x015882C4,0x766fe2b0,615,GetLastError,kernel32.dll
0x015882C8,0x76700d80,433,FreeLibrary,kernel32.dll
0x015882CC,0x76700e70,969,LoadLibraryA,kernel32.dll
0x015882D0,0x767010d0,633,GetModuleFileNameA,kernel32.dll
0x015882D4,0x76701bb0,745,GetSystemInfo,kernel32.dll
0x015882D8,0x766fe220,1015,MultiByteToWideChar,kernel32.dll
0x015882DC,0x766fe350,1605,lstrlenW,kernel32.dll
0x015882E0,0x766ff7f0,692,GetProcAddress,kernel32.dll
0x015882E4,0x766fe240,1337,SetLastError,kernel32.dll
0x015882E8,0x767010f0,638,GetModuleHandleW,kernel32.dll
0x015882EC,0x76700660,440,GetACP,kernel32.dll
0x015882F0,0x766fb4b0,410,FindResourceExA,kernel32.dll
0x015882F4,0x766f2eb0,409,FindResourceA,kernel32.dll
0x015882F8,0x766feae0,975,LoadResource,kernel32.dll
0x015882FC,0x766ff5e0,995,LockResource,kernel32.dll
0x01588300,0x76700720,1413,SizeofResource,kernel32.dll
0x01588304,0x766fe1b0,546,GetCurrentThreadId,kernel32.dll
0x01588308,0x766fe1c0,1449,TlsGetValue,kernel32.dll
0x0158830C,0x766fe250,1450,TlsSetValue,kernel32.dll
0x01588310,0x766fe290,1543,WideCharToMultiByte,kernel32.dll
0x01588314,0x766feb00,881,InterlockedDecrement,kernel32.dll
0x01588318,0x766ffe60,411,FindResourceExW,kernel32.dll
0x0158831C,0x766f1f60,412,FindResourceW,kernel32.dll
0x01588320,0x76715340,268,DebugBreak,kernel32.dll
0x01588324,0x77010f30,1518,TryEnterCriticalSection,kernel32.dll
0x01588328,0x76703250,871,InitializeCriticalSectionAndSpinCount,kernel32.dll
0x0158832C,0x76702640,784,GetTickCount,kernel32.dll
0x01588330,0x76703360,157,CompareFileTime,kernel32.dll
0x01588334,0x767172e0,1462,UnhandledExceptionFilter,kernel32.dll
0x01588338,0x76702370,902,IsDebuggerPresent,kernel32.dll
0x0158833C,0x766ff630,751,GetSystemTimeAsFileTime,kernel32.dll
0x01588340,0x766fea80,885,InterlockedIncrement,kernel32.dll
0x01588344,0x76fee8c0,1246,LeaveCriticalSection,kernel32.dll
0x01588348,0x76ff00c0,961,EnterCriticalSection,kernel32.dll
0x0158834C,0x76fdfc80,905,DeleteCriticalSection,kernel32.dll
0x01588350,0x766fe370,839,GlobalUnlock,kernel32.dll
0x01588354,0x7673ad10,1032,OpenFile,kernel32.dll
0x01588358,0x76ff2360,1180,InterlockedPushEntrySList,kernel32.dll
0x0158835C,0x76ff2310,1179,InterlockedPopEntrySList,kernel32.dll
0x01588360,0x77018df0,1164,InitializeSListHead,kernel32.dll
0x01588364,0x767032f0,1309,SetEvent,kernel32.dll
0x01588368,0x76702610,359,ExpandEnvironmentStringsA,kernel32.dll
0x0158836C,0x76703370,187,CreateDirectoryA,kernel32.dll
0x01588370,0x767020e0,693,GetProcessAffinityMask,kernel32.dll
0x01588374,0x767008b0,1308,SetErrorMode,kernel32.dll
0x01588378,0x767035f0,595,GetFileTime,kernel32.dll
0x0158837C,0x767033b0,209,CreateFileW,kernel32.dll
0x01588380,0x766ff7d0,983,LocalFree,kernel32.dll
0x01588384,0x766f5bd0,883,InterlockedExchangeAdd,kernel32.dll
0x01588388,0x76703dd0,1289,SetConsoleTextAttribute,kernel32.dll
0x0158838C,0x76701e60,429,FormatMessageW,kernel32.dll
0x01588390,0x00000000,,,
0x01588394,0x5da67149,375,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBD@Z,msvcp90.dll
0x01588398,0x5da65e81,380,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,msvcp90.dll
0x0158839C,0x5da6132c,2497,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,msvcp90.dll
0x015883A0,0x5da6d930,2405,?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,msvcp90.dll
0x015883A4,0x5da672b6,694,??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z,msvcp90.dll
0x015883A8,0x5da78a4b,388,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@PBG@Z,msvcp90.dll
0x015883AC,0x5da70993,1398,?_Myptr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@IBEPBGXZ,msvcp90.dll
0x015883B0,0x5da70993,1398,?_Myptr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@IBEPBGXZ,msvcp90.dll
0x015883B4,0x5da76075,609,??1?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@XZ,msvcp90.dll
0x015883B8,0x5da75aeb,48,??$?8GU?$char_traits@G@std@@V?$allocator@G@1@@std@@YA_NABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@0@Z,msvcp90.dll
0x015883BC,0x5da75974,138,??$?MDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0@Z,msvcp90.dll
0x015883C0,0x5da70993,1398,?_Myptr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@IBEPBGXZ,msvcp90.dll
0x015883C4,0x5da75b67,141,??$?MGU?$char_traits@G@std@@V?$allocator@G@1@@std@@YA_NABV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@0@0@Z,msvcp90.dll
0x015883C8,0x5da758ba,45,??$?8DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0@Z,msvcp90.dll
0x015883CC,0x5da7c95a,102,??$?HDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@0@Z,msvcp90.dll
0x015883D0,0x5da76059,393,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@XZ,msvcp90.dll
0x015883D4,0x5da78b0f,697,??4?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV01@PBG@Z,msvcp90.dll
0x015883D8,0x5da797c3,104,??$?HDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@PBD@Z,msvcp90.dll
0x015883DC,0x5da65345,843,??A?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAADI@Z,msvcp90.dll
0x015883E0,0x5da6501f,1515,?_Xfunc@tr1@std@@YAXXZ,msvcp90.dll
0x015883E4,0x5da64ef3,1660,?compare@?$char_traits@D@std@@SAHPBD0I@Z,msvcp90.dll
0x015883E8,0x5da64eb9,2001,?eq@?$char_traits@D@std@@SA_NABD0@Z,msvcp90.dll
0x015883EC,0x5da79bd2,2990,?swap@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXAAV12@@Z,msvcp90.dll
0x015883F0,0x5da65468,2810,?rfind@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDII@Z,msvcp90.dll
0x015883F4,0x5da74ac9,1969,?end@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBE?AV?$_String_const_iterator@GU?$char_traits@G@std@@V?$allocator@G@2@@2@XZ,msvcp90.dll
0x015883F8,0x5da74a71,1603,?begin@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBE?AV?$_String_const_iterator@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@2@XZ,msvcp90.dll
0x015883FC,0x5da78b37,868,??Y?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEAAV01@PBG@Z,msvcp90.dll
0x01588400,0x5da78dbf,381,??0?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAE@ABV01@@Z,msvcp90.dll
0x01588404,0x5da6757a,2984,?substr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE?AV12@II@Z,msvcp90.dll
0x01588408,0x5da6551f,2808,?rfind@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIDI@Z,msvcp90.dll
0x0158840C,0x5da65c72,2059,?find_first_of@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIABV12@I@Z,msvcp90.dll
0x01588410,0x5da65423,2034,?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIPBDI@Z,msvcp90.dll
0x01588414,0x5da6d930,2405,?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,msvcp90.dll
0x01588418,0x5da672de,865,??Y?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@PBD@Z,msvcp90.dll
0x0158841C,0x5da675a3,692,??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z,msvcp90.dll
0x01588420,0x5da78def,871,??Y?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV01@_W@Z,msvcp90.dll
0x01588424,0x5da79bb2,698,??4?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV01@ABV01@@Z,msvcp90.dll
0x01588428,0x5da761a9,1621,?clear@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QAEXXZ,msvcp90.dll
0x0158842C,0x5da65f90,1620,?clear@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXXZ,msvcp90.dll
0x01588430,0x5da65acb,1966,?end@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE?AV?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ,msvcp90.dll
0x01588434,0x5da65a79,1598,?begin@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE?AV?$_String_iterator@DU?$char_traits@D@std@@V?$allocator@D@2@@2@XZ,msvcp90.dll
0x01588438,0x5da79bd2,2990,?swap@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEXAAV12@@Z,msvcp90.dll
0x0158843C,0x5da675b3,863,??Y?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z,msvcp90.dll
0x01588440,0x5da6506e,1686,?data@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEPBDXZ,msvcp90.dll
0x01588444,0x5da670eb,377,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@PBDI@Z,msvcp90.dll
0x01588448,0x5da674ec,2764,?replace@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@IIABV12@@Z,msvcp90.dll
0x0158844C,0x5da65a03,2009,?erase@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@II@Z,msvcp90.dll
0x01588450,0x5da7c9a6,106,??$?HDU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBDABV10@@Z,msvcp90.dll
0x01588454,0x5da758f2,46,??$?8DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z,msvcp90.dll
0x01588458,0x5da75952,64,??$?9DU?$char_traits@D@std@@V?$allocator@D@1@@std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z,msvcp90.dll
0x0158845C,0x5da6d930,2405,?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,msvcp90.dll
0x01588460,0x5da704ec,853,??A?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEAB_WI@Z,msvcp90.dll
0x01588464,0x5da65c1a,2032,?find@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIABV12@I@Z,msvcp90.dll
0x01588468,0x5da665d3,2314,?insert@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@IPBDI@Z,msvcp90.dll
0x0158846C,0x5da662ad,1544,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBD@Z,msvcp90.dll
0x01588470,0x5da6620a,1545,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,msvcp90.dll
0x01588474,0x5da67306,1540,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@@Z,msvcp90.dll
0x01588478,0x5da6643c,1565,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBD@Z,msvcp90.dll
0x0158847C,0x5da76cbf,1579,?assign@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QAEAAV12@PB_W@Z,msvcp90.dll
0x01588480,0x5da66c66,2767,?replace@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@IIPBD@Z,msvcp90.dll
0x01588484,0x5da6132c,2497,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,msvcp90.dll
0x01588488,0x5da6d930,2405,?length@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,msvcp90.dll
0x0158848C,0x5da657e5,1646,?compare@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEHIIPBDI@Z,msvcp90.dll
0x01588490,0x5da68b60,2022,?fail@ios_base@std@@QBE_NXZ,msvcp90.dll
0x01588494,0x5da68b60,2022,?fail@ios_base@std@@QBE_NXZ,msvcp90.dll
0x01588498,0x5da68b3d,2744,?rdstate@ios_base@std@@QBEHXZ,msvcp90.dll
0x0158849C,0x5da7ac66,1636,?close@?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAEXXZ,msvcp90.dll
0x015884A0,0x5da83744,336,??0?$basic_ofstream@DU?$char_traits@D@std@@@std@@QAE@PBDHH@Z,msvcp90.dll
0x015884A4,0x5da7abdf,1633,?close@?$basic_ifstream@DU?$char_traits@D@std@@@std@@QAEXXZ,msvcp90.dll
0x015884A8,0x5da82ba7,297,??0?$basic_ifstream@DU?$char_traits@D@std@@@std@@QAE@PBDHH@Z,msvcp90.dll
0x015884AC,0x5da8eb26,2745,?read@?$basic_istream@DU?$char_traits@D@std@@@std@@QAEAAV12@PADH@Z,msvcp90.dll
0x015884B0,0x5da710d7,3011,?tellp@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAE?AV?$fpos@H@2@XZ,msvcp90.dll
0x015884B4,0x5da7a7ff,2863,?seekp@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@V?$fpos@H@2@@Z,msvcp90.dll
0x015884B8,0x5da8d91e,3097,?write@?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV12@PBDH@Z,msvcp90.dll
0x015884BC,0x5da7088d,1658,?compare@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEHIIPB_WI@Z,msvcp90.dll
0x015884C0,0x5da78f11,2985,?substr@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBE?AV12@II@Z,msvcp90.dll
0x015884C4,0x5da74b98,2067,?find_first_of@?$basic_string@_WU?$char_traits@_W@std@@V?$allocator@_W@2@@std@@QBEIABV12@I@Z,msvcp90.dll
0x015884C8,0x5da709a6,2038,?find@?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@QBEIPBGI@Z,msvcp90.dll
0x015884CC,0x5da6d922,1961,?empty@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBE_NXZ,msvcp90.dll
