Module,Address,Function
vcruntime140.dll,6A2FE2B0,_except_handler3
vcruntime140.dll,6A2FE3D0,_seh_longjmp_unwind
vcruntime140.dll,6A2FE400,_local_unwind4
vcruntime140.dll,6A2FE4F0,_seh_longjmp_unwind4
vcruntime140.dll,6A2FE697,_NLG_Return
vcruntime140.dll,6A2FE6C0,__intrinsic_setjmp
vcruntime140.dll,6A2FE700,_setjmp3
vcruntime140.dll,6A2FE7A0,_longjmpex
vcruntime140.dll,6A2FE7B0,memchr
vcruntime140.dll,6A2FE860,memmove
vcruntime140.dll,6A2FE860,memcpy
vcruntime140.dll,6A2FEDE0,memset
vcruntime140.dll,6A2FEF40,strchr
vcruntime140.dll,6A2FF070,strrchr
vcruntime140.dll,6A2FF1B0,strstr
vcruntime140.dll,6A2FFB10,_EH_prolog
vcruntime140.dll,6A2FFB60,__report_gsfailure
msvcp140.dll,6A3129D4,public: static unsigned int const std::ctype<char>::table_size
msvcp140.dll,6A312A90,const std::_Facet_base::`vftable'
msvcp140.dll,6A312D68,const std::locale::facet::`vftable'
msvcp140.dll,6A312D78,const std::locale::_Locimp::`vftable'
msvcp140.dll,6A312D8C,const std::codecvt_base::`vftable'
msvcp140.dll,6A312DA8,"const std::codecvt<char16_t, char, struct _Mbstatet>::`vftable'"
msvcp140.dll,6A312DD4,"const std::codecvt<char32_t, char, struct _Mbstatet>::`vftable'"
msvcp140.dll,6A312E00,"const std::codecvt<wchar_t, char, struct _Mbstatet>::`vftable'"
msvcp140.dll,6A312E2C,"const std::codecvt<unsigned short, char, struct _Mbstatet>::`vftable'"
msvcp140.dll,6A312E58,const std::ctype_base::`vftable'
msvcp140.dll,6A312E68,const std::ctype<char>::`vftable'
msvcp140.dll,6A312E98,const std::ctype<wchar_t>::`vftable'
msvcp140.dll,6A312ED8,const std::ctype<unsigned short>::`vftable'
msvcp140.dll,6A312F24,const std::ios_base::`vftable'
msvcp140.dll,6A312F74,const std::time_base::`vftable'
msvcp140.dll,6A312F84,"const std::basic_ios<char, struct std::char_traits<char>>::`vftable'"
msvcp140.dll,6A312F8C,"const std::basic_ostream<char, struct std::char_traits<char>>::`vftable'"
msvcp140.dll,6A312F90,"const std::basic_ostream<char, struct std::char_traits<char>>::`vbtable'"
