patch_addr,bytes_at_local
0x48c69e,90E8C988595D
0x48cf11,90E89FA35D5D
0x48dd86,90E82A955D5D
0x48df45,90E8FE915D5D
0x48df4f,90E8667F5D5D
0x48dfe2,90E861915D5D
0x48dffe,90E845915D5D
0x48e1f4,90E8C17C5D5D
0x48e204,90E8B17C5D5D
0x48e27f,90E8C48E5D5D
0x48e289,90E82C7C5D5D
0x48e2b4,90E88F8E5D5D
0x48e2be,90E8F77B5D5D
0x48e302,90E8418E5D5D
0x48e30c,90E8A97B5D5D
0x48e337,90E80C8E5D5D
0x48e341,90E8747B5D5D
0x48e36e,90E8D58D5D5D
0x48e378,90E83D7B5D5D
0x48e94d,90E876E3585D
0x48ecc5,90E8FEDF585D
0x48ed71,90E852DF585D
0x48ed8e,90E835DF585D
0x48eda2,90E821DF585D
0x48eea6,90E89F9B5E5D
0x48f3da,90E8E9D8585D
0x48f3ea,90E8D9D8585D
0x48f3fa,90E8C9D8585D
0x48f551,90E85F7D5D5D
0x48f697,90E8AC7A5D5D
0x48f6a1,90E814685D5D
0x48f701,90E8427A5D5D
0x48f70b,90E8AA675D5D
0x48f725,90E81E7A5D5D
0x48f744,90E8FF795D5D
0x48f7c9,90E87A795D5D
0x48f7e8,90E85B795D5D
0x490339,90E8776F5D5D
0x4908aa,90E819C4585D
0x4908c2,90E801C4585D
0x4908f4,90E8CFC3585D
0x49090c,90E8B7C3585D
0x49093d,90E886C3585D
0x490951,90E872C3585D
0x490f44,90E87FBD585D
0x490f72,90E851BD585D
0x490ff4,90E8CFBC585D
0x49101b,90E8A8BC585D
0x49102b,90E898BC585D
0x491050,90E873BC585D
0x491070,90E8AF59555D
0x491092,90E831BC585D
0x49117f,90E844BB585D
0x49118d,90E836BB585D
0x4911bc,90E807BB585D
0x4911d2,90E8F1BA585D
0x491264,90E85FBA585D
0x49128a,90E839BA585D
0x49129d,90E826BA585D
0x49150a,90E8B9B7585D
0x491518,90E8ABB7585D
0x49153f,90E884B7585D
0x49154f,90E874B7585D
