Module,Address,Function
msvcr90.dll,6741C966,_spawnvpe
msvcr90.dll,6741CBE3,system
msvcr90.dll,6741CCC8,_cwait
msvcr90.dll,6741D394,_wexecl
msvcr90.dll,6741D3E7,_wexecle
msvcr90.dll,6741D447,_wexeclp
msvcr90.dll,6741D498,_wexeclpe
msvcr90.dll,6741D4F8,_wexecv
msvcr90.dll,6741D5CC,_wexecve
msvcr90.dll,6741D7EB,_wexecvp
msvcr90.dll,6741D807,_wexecvpe
msvcr90.dll,6741DA37,_wspawnl
msvcr90.dll,6741DA8D,_wspawnle
msvcr90.dll,6741DAF0,_wspawnlp
msvcr90.dll,6741DB45,_wspawnlpe
msvcr90.dll,6741DBA8,_wspawnv
msvcr90.dll,6741DC80,_wspawnve
msvcr90.dll,6741DEA5,_wspawnvp
msvcr90.dll,6741DEC4,_wspawnvpe
msvcr90.dll,6741E10B,_wsystem
msvcr90.dll,6741E1F0,_mbclen_l
msvcr90.dll,6741E221,_mbclen
msvcr90.dll,6741E24E,_mbsinc_l
msvcr90.dll,6741E27A,_mbsinc
msvcr90.dll,6741E2C5,_mbsninc_l
msvcr90.dll,6741E2EF,_mbsninc
msvcr90.dll,6741E30B,_mbctohira_l
msvcr90.dll,6741E34B,_mbctohira
msvcr90.dll,6741E363,_mbctokata_l
msvcr90.dll,6741E394,_mbctokata
msvcr90.dll,6741E3AC,feof
msvcr90.dll,6741E3E5,ferror
msvcr90.dll,6741E41E,getc
msvcr90.dll,6741E41E,fgetc
msvcr90.dll,6741E527,_getc_nolock
msvcr90.dll,6741E54C,_fgetchar
msvcr90.dll,6741E55E,getchar
msvcr90.dll,6741E568,fgets
msvcr90.dll,6741E6B5,_fgetwc_nolock
msvcr90.dll,6741E865,fgetwc
msvcr90.dll,6741E8DE,getwc
msvcr90.dll,6741E8EE,fgetws
msvcr90.dll,6741E9B4,_fgetwchar
msvcr90.dll,6741E9C6,getwchar
msvcr90.dll,6741E9D0,_fileno
msvcr90.dll,6741EA07,fputc
msvcr90.dll,6741EA07,putc
msvcr90.dll,6741EB18,fputs
msvcr90.dll,6741EC2C,_fputchar
msvcr90.dll,6741EC4B,putchar
msvcr90.dll,6741EC5B,_fputwc_nolock
msvcr90.dll,6741EDE7,fputwc
msvcr90.dll,6741EE65,putwc
msvcr90.dll,6741EE75,fputws
msvcr90.dll,6741EF26,_fputwchar
msvcr90.dll,6741EF45,putwchar
msvcr90.dll,6741EF55,_filbuf
msvcr90.dll,6741F1C3,__iob_func
msvcr90.dll,6741F1C3,__p__iob
msvcr90.dll,6741F291,_lock_file
msvcr90.dll,6741F30E,_unlock_file
msvcr90.dll,6741F383,_flsbuf
msvcr90.dll,6741FA7F,clearerr_s
msvcr90.dll,6741FB31,clearerr
msvcr90.dll,6741FB41,_fcloseall
msvcr90.dll,6741FBE5,_fclose_nolock
msvcr90.dll,6741FC61,fclose
msvcr90.dll,6741FCE2,_fdopen
msvcr90.dll,6741FED4,_fflush_nolock
msvcr90.dll,67420000,fflush
msvcr90.dll,67420058,_flushall
msvcr90.dll,67420066,fgetpos
msvcr90.dll,674200D9,_fsopen
msvcr90.dll,674201A2,fopen
msvcr90.dll,674201BE,fopen_s
msvcr90.dll,67420216,fprintf
msvcr90.dll,67420337,_fprintf_l
msvcr90.dll,67420358,_fprintf_s_l
msvcr90.dll,67420379,fprintf_s
msvcr90.dll,67420399,_fprintf_p_l
msvcr90.dll,674203BA,_fprintf_p
msvcr90.dll,674203DA,_fread_nolock_s
msvcr90.dll,674205E9,_fread_nolock
msvcr90.dll,6742060B,fread_s
msvcr90.dll,674206A6,fread
msvcr90.dll,674207A6,freopen
msvcr90.dll,674207D1,freopen_s
msvcr90.dll,67420905,fscanf
msvcr90.dll,6742092A,_fscanf_l
msvcr90.dll,67420950,fscanf_s
msvcr90.dll,67420975,_fscanf_s_l
msvcr90.dll,6742099B,_fseek_nolock
